"postId","date","title","videoFile","youtubeUrl","youtubeId"
"ac188656f1a8","2026-03-16","3/14、星期六、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/804205638813735.mp4","",""
"64fb9b426311","2026-03-16","3/13｜星期五","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1914810782491073.mp4","",""
"a9d0f57bf824","2026-03-16","3/13｜星期五","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1914810782491073.mp4","",""
"29a7f7beea35","2026-03-14","3/12、星期二、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/967630275935198.mp4","",""
"426b9b949087","2026-03-14","2026.3.14 《龍門方便法門》筆記📝","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/3856645004637242.mp4","",""
"b4bffc33dfa5","2026-03-14","2026.3.14 《龍門方便法門》筆記📝","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/3856645004637242.mp4","",""
"453d13e27da8","2026-03-13","3/11 星期三","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/26113733518307139.mp4","",""
"85a2ed878e30","2026-03-13","3/11 星期三","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/26113733518307139.mp4","",""
"2e1b64fd6b9d","2026-03-12","3/10、星期二、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1408399384363134.mp4","",""
"f35680efdf08","2026-03-10","3/9、星期一","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/903887059098672.mp4","",""
"d9950555053f","2026-03-10","3/9、星期一","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/903887059098672.mp4","",""
"bb746a53dd6b","2026-03-09","3/8、星期日","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1280782130590710.mp4","",""
"e9070a3aeba3","2026-03-07","3/6日記忘了發……again","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1285831933390264.mp4","",""
"a433dd34e024","2026-03-07","3/7、星期六，","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/805612018639397.mp4","",""
"848ba34e41d6","2026-03-06","《全真龍門方便法門》影片第七講","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1587132112340090.mp4","",""
"4a552c03a74d","2026-03-06","《全真龍門方便法門》影片第七講","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1587132112340090.mp4","",""
"d8ecc366cb4b","2026-03-05","3/5、星期四，","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/2148899645878122.mp4","",""
"ef9a5a87bd7c","2026-03-05","3/5、星期四，","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/2148899645878122.mp4","",""
"9b98d8fa305c","2026-03-04","3/4 星期三","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/932473799240822.mp4","",""
"ee0299dc6526","2026-03-04","3/4 星期三","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/932473799240822.mp4","",""
"79a6c903aef5","2026-03-04","3/3、星期二、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/929458456454600.mp4","",""
"029b934ab75c","2026-03-04","3/3、星期二、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/929458456454600.mp4","",""
"9bd7308535f6","2026-03-02","3/2、星期一","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1616591599682844.mp4","",""
"4a25ed6508c0","2026-03-02","3/2、星期一","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1616591599682844.mp4","",""
"0494627cd9e7","2026-03-01","3/1 、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1986833552263068.mp4","",""
"6fff32bf795e","2026-03-01","3/1 、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1986833552263068.mp4","",""
"a4c4322f470a","2026-02-28","2/28半夜突然來了很多訂單、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1895655377978535.mp4","",""
"50593bd8dcc5","2026-02-28","2/27、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/852945124433838.mp4","",""
"0b99f8f6d41f","2026-02-28","2/27、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/852945124433838.mp4","",""
"bc94eb697909","2026-02-26","2/26大年初十、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/2001811210366820.mp4","",""
"fa8bd48e2de3","2026-02-26","2/26大年初十、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/2001811210366820.mp4","",""
"c500767c2f82","2026-02-25","2/25 大年初九、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1692817715034738.mp4","",""
"526d98f33976","2026-02-25","2/25 大年初九、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1692817715034738.mp4","",""
"f2fe48f49219","2026-02-24","2/24 大年初八","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/911604984935812.mp4","",""
"9b8c7d3ed92b","2026-02-23","2/23 大年初七、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/26231562889802286.mp4","",""
"380d6145c78d","2026-02-22","【用靈魂與魔鬼交易！歌德耗時六十年的不朽鉅作】","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1257286836352897.mp4","",""
"f33c9f1f5e29","2026-02-22","2/22 大年初六、搭火車衝回台東倉庫、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1600086691128896.mp4","",""
